,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
113,河南沈丘农村商业银行股份有限公司智能信贷系统项目公开招标公告,河南,http://www.gc-zb.com/read-195925638.html,招标,,,,,
114,云南芒市农村商业银行股份有限公司武装押运服务项目招标公告,云南,http://www.gc-zb.com/read-195923812.html,招标,,,,,
115,云南芒市农村商业银行股份有限公司守库服务项目招标公告,云南,http://www.gc-zb.com/read-195923717.html,招标,,,,,
116,山西平遥农村商业银行股份有限公司各支行网点门头灯箱制作工程谈判采购公告,山西,http://www.gc-zb.com/read-195923582.html,招标,,,,,
117,世界银行贷款新疆职业教育建设项目新疆维吾尔医学专科学校大学生心理健康与咨询室设备项目公告(变更延期),新疆,http://www.gc-zb.com/read-195921831.html,招标,,,,,
118,中国人民银行涪陵中心支行、丰都支行移动工作站采购竞价公告,重庆,http://www.gc-zb.com/read-195956745.html,招标,,,,,
119,厦门万翔-公开招标-XM2019-TZ5340中国人民银行厦门市中心支行本..,福建,http://www.gc-zb.com/read-195919258.html,招标,,,,,
120,莒县农村商业银行智慧柜员机采购项目,山东,http://www.gc-zb.com/read-195917437.html,招标,,,,,
121,新乡县财政局国库集中支付（授权支付）代理银行招标项目结果公告,河南,http://www.gc-zb.com/read-195917139.html,招标,,,,,
122,华夏银行2019年资产托管系统政策性调整及创新业务项目采购结果公示,北京,http://www.gc-zb.com/read-195915062.html,招标,,,,,
123,华夏银行信用卡中心数据库中间件驻场运维项目采购结果公示,北京,http://www.gc-zb.com/read-195914973.html,招标,,,,,
124,中国农业银行股份有限公司扬州分行窗帘采购及安装项目第1次补充公告,江苏,http://www.gc-zb.com/read-195914904.html,招标,中国农业银行股份有限公司,分行,,,
125,华夏银行信用卡中心境内机场贵宾服务项目采购结果公示,北京,http://www.gc-zb.com/read-195914896.html,招标,,,,,
126,华夏银行呼和浩特安防网络加固设备采购结果公示,内蒙古,http://www.gc-zb.com/read-195914792.html,招标,,,,,
127,2019年瑞安市公立医院卫生系统资金存放银行竞争性存放项目公开招标公告,浙江,http://www.gc-zb.com/read-195948754.html,招标,,,,,
128,中国进出口银行聘请船舶行业专业数据支持服务机构项目成交结果公告,北京,http://www.gc-zb.com/read-195914006.html,招标,中国进出口银行,总行,,,
129,中国银行股份有限公司泰州分行员工羊绒衫采购项目采购结果公告,江苏,http://www.gc-zb.com/read-195912697.html,招标,中国银行股份有限公司,分行,,,
130,延安农村商业银行股份有限公司临时用工委派及企业咨询服务项目成交结果公示,陕西,http://www.gc-zb.com/read-195912660.html,招标,,,,,
131,厦门万翔-公开招标-XM2019-TZ5340中国人民银行厦门市中心支行本外币一体化客户端虚拟化平台公开招标公告,福建,http://www.gc-zb.com/read-195912551.html,招标,,,,,
132,金融中心银行总部聚集区应急通道项目招标公告,湖南,http://www.gc-zb.com/read-195912507.html,招标,,,,,
133,合肥电信分公司2019年合肥科技农村商业银行无线覆盖建设及维护项目比选公告,安徽,http://www.gc-zb.com/read-195911630.html,招标,,,,,
